50038 10008 27168 38684 34.5454 2449.2
24974 39314 38289 53420 34.5352 7953
39391 37096 50960 22900 34.5505 -3444
31881 36175 30978 17489 34.5617 -5465
48594 20877 46984 18723 34.5548 -5004
18350 11054 47060 44765 34.5489 4722
47151 10014 43612 14334 34.5741 -6643
29338 29951 19883 32914 34.5739 294.3
10372 18546 41195 18886 34.5816 -4943
52626 37964 21872 41514 34.5607 3507
29940 15313 43794 13219 34.59 -7060
29026 12134 35346 16264 34.6276 -5923
40271 10872 27802 43948 34.6195 4416
28890 28292 27247 23560 34.6257 -3198.6
32310 12513 31024 48026 34.6755 5939
44428 12510 52518 32053 34.7017 -25.93
20718 30892 41019 50036 34.7179 6690
40054 48785 19204 21060 34.7496 -4132
39770 46521 49774 44107 34.7438 4476
31420 50206 32660 48841 34.7529 6243
30268 27865 45266 19173 34.7839 -4836
55478 32239 34492 51358 34.7839 7183
30394 46930 31721 35853 34.811 1392.2
31620 24734 20627 13770 34.8209 -6855
28222 33574 32652 33814 34.8379 630.9
18449 35545 12825 10034 34.8405 -8250
26423 40190 30835 11869 34.8552 -7564
40506 19905 12983 18868 34.8917 -4951
43859 53367 28697 30290 34.9247 -685.4
35408 38989 31987 20696 34.9452 -4268
54135 40656 45626 35394 36.5389 1220
13147 11392 55481 54462 36.6152 8340
44544 48958 52210 10955 36.6959 -7904
14700 20793 38318 50782 36.7703 6965
11950 33383 24885 43607 36.8508 4286
53431 33012 19425 37859 35.9078 2137.3
33211 12975 29264 27002 37.566 -1915.2
39293 31664 35956 31981 38.1227 -56.47
43158 48673 11019 13914 38.1959 -6801
52814 21911 20273 25518 38.2747 -2469.7
54103 43501 28299 23622 38.3849 -3177.3
51398 39970 46685 26526 38.4529 -2092.5
37040 53123 54065 38493 38.5235 2374.5
17164 30721 10510 12335 38.6094 -7391
15002 51628 36494 52189 38.6835 7486
41698 52161 23924 26493 38.7467 -2106.2
47470 24175 33904 31855 38.8161 -104.58
26628 26870 14740 52076 38.848 7442
14087 19499 11372 23670 38.9428 -3160.6
55085 49683 41965 28351 37.0201 -1412.3
23398 24654 33002 34750 37.0428 975.6
11994 12997 43683 10799 37.1245 -7963
24543 28981 24150 12549 37.1693 -7310
12890 17661 26456 15755 37.2202 -6114
43964 47947 21022 13476 37.2444 -6965
35667 55624 54033 54270 37.3248 8261
37932 15088 36113 10258 37.3566 -8165
39746 19433 35374 34094 37.4036 730.3
48983 46676 44050 26164 37.4281 -2228.8
22163 38581 45934 34387 37.4579 840
24036 24025 41968 45583 37.5006 5019
10578 41736 35405 35664 37.5342 1315.9
28173 53115 46839 22086 37.5708 -3750
39085 12804 22852 22480 37.6511 -3605
28351 12491 29695 29853 37.6833 -853.1
15074 23373 45287 45962 37.7076 5160
26897 24364 16163 53823 37.8225 8090
27615 41499 43168 16850 37.83 -5705
40191 13969 32168 14974 37.8271 -6405
42301 21498 49801 54736 37.8439 8432
14264 54518 32429 30686 37.8429 -542.7
37611 45321 42433 17328 37.8403 -5526
44307 29775 41134 38608 37.838 2413.7
32324 10934 51379 44656 37.8275 4672
26499 36348 46032 22634 37.8505 -3546
49861 14546 22583 53934 37.8461 8132
26610 11859 12950 15219 37.8229 -6315
19549 50452 29963 19986 37.8427 -4535
35041 11088 20723 13704 37.8314 -6880
27674 37737 11810 32061 37.8326 -30.63
25784 29097 11936 39986 37.8165 2926.5
46714 36203 40488 35251 37.8317 1161.1
44037 13608 31080 22428 37.8182 -3624
14369 55173 24419 36386 37.9197 1583.8
47274 20711 32620 50493 40.2133 6848
33002 51510 35123 40420 40.2481 3090
50196 55215 38878 38754 40.3453 2467.8
47270 25141 20685 38425 40.421 2344.2
23145 54324 51333 38880 40.5217 2515.2
55026 28543 52497 47191 40.6245 5617
48524 14704 36451 52723 40.7325 7680
25802 44359 50211 16948 40.8319 -5668
47182 33502 31962 34657 40.9667 938.4
31428 52236 39939 20046 39.1083 -4512
38058 34013 52413 37260 39.303 1910.2
38353 55524 28298 32532 39.4215 144.84
13643 47546 23415 41617 39.5709 3535
49746 21966 42710 42542 39.6653 3881
27605 42291 19780 22725 39.7996 -3514
46895 13611 16913 26853 42.1615 -1974.9
35844 33173 27744 20634 42.268 -4294
51029 47218 26236 24865 42.3943 -2716.2
41465 13930 11074 33828 42.504 626.6
30325 52157 46937 34863 42.6949 1014.1
39042 32560 51748 10085 42.809 -8228
19059 17514 19468 53616 42.8735 8008
33435 43116 14677 26566 42.9133 -2082.7
36087 53206 32144 29960 41.1284 -816
41404 38507 20962 16901 41.2283 -5688
31969 43950 28873 53497 41.2908 7963
30146 51379 32333 54498 41.421 8336
48279 42961 50182 44404 41.5197 4572
22123 23128 14760 45227 41.5934 4878
38597 29132 44158 45345 41.6608 4923
45062 45636 38983 22191 41.7554 -3714
39263 36960 27192 14500 41.8425 -6583
18896 12377 42718 33366 41.9136 454
47726 16954 44012 37187 43.3481 1879
38336 55115 34398 34993 44.1121 1060.1
21271 22884 18779 38629 44.2064 2415.3
41918 22984 50353 20051 44.2964 -4512
42066 37789 47711 52909 44.3604 7742
14294 22401 48897 14852 44.4219 -6451
52136 35084 32263 38943 44.495 2532.6
33735 45243 16598 35504 44.5354 1249.2
