31237.3 31143 32307.6 31656.8 36.0946 497.7 529.4 136.78 359.9
23011.9 35712.8 38322.2 27708.1 36.0532 3273 -1012.6 -1892.8 1706.2
34653.5 47251.8 26584.2 22060.3 36.0487 -654.3 -4907 2069 3633
31649.9 29981.8 19716.6 38951.4 36.0266 358.7 921.5 4389 -2126.7
43075.7 20655.9 32900.9 44182.4 36.0031 -3497 4071 -63.3 -3909
35103.1 29539.4 40484.9 35335.7 35.9692 -806.7 1070.9 -2622.8 -893.7
35104.9 29543 40485.3 35336.6 38.1378 -807.5 1069.3 -2623.1 -894.8
19037.4 40973.3 32193.1 23905.2 39.8973 4597 -2762 175.9 3002.1
25771.5 37070.5 38488.7 31267.3 40.7766 2329.8 -1471.5 -1950 490.6
43169.2 28047.5 19306.6 46533.8 41.6566 -3493 1572.5 4513 -4710
47676.2 21189.7 15602 50893.5 42.3252 -5051 3888 5775 -6201
16488.8 18235.7 20359.5 43559.4 45.1295 5460 4885 4167 -3699
7007.25 24794.7 14711.4 33156.7 44.9788 8666 2663 6073 -154
22401.7 37817.7 28123.1 11575.9 44.8322 3477 -1726 1546 7202
23483.7 38911 24233 24443.9 43.5262 3111.9 -2094.2 2859.1 2815.6
26398.8 36652.6 27417.9 26155 43.4694 2128.1 -1331.9 1784.2 2232.6
37109.7 35621.5 35418.2 35526.6 43.4109 -1485.9 -984.2 -915.3 -961.3
35169 24298 34300.4 39146.2 43.2905 -831.2 2836.9 -537.8 -2194.6
